epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.196,1.4756,0.87405,1.07474,0.78574,0.44659,0.5038,0.27182,1.36161,0.67681,0.99516,0.0033313,0.0033313,0.0033313
2,672.522,1.42791,0.79244,1.02356,0.76938,0.41067,0.46618,0.25434,1.41036,0.74886,1.02216,0.00659866,0.00659866,0.00659866
3,1013.44,1.49277,0.87058,1.05608,0.76594,0.38681,0.437,0.24044,1.4329,0.80067,1.04773,0.00980001,0.00980001,0.00980001
4,1319.2,1.49969,0.87795,1.06182,0.77006,0.40911,0.46206,0.25437,1.3967,0.73512,1.03122,0.009703,0.009703,0.009703
5,1621.71,1.43538,0.81724,1.04537,0.78667,0.43183,0.4864,0.27035,1.34141,0.68883,1.01732,0.009604,0.009604,0.009604
6,1924.35,1.39646,0.77647,1.03433,0.79201,0.44223,0.49766,0.27852,1.32402,0.65308,1.00911,0.009505,0.009505,0.009505
7,2227.58,1.38624,0.75614,1.02827,0.79986,0.45321,0.51353,0.28724,1.307,0.63272,1.00141,0.009406,0.009406,0.009406
8,2528.76,1.34388,0.72384,1.01901,0.80304,0.45805,0.51753,0.29249,1.2894,0.61943,0.99438,0.009307,0.009307,0.009307
9,2838.25,1.34375,0.71861,1.01673,0.8058,0.45966,0.51867,0.29661,1.27718,0.60875,0.99436,0.009208,0.009208,0.009208
10,3134.56,1.32918,0.7043,1.01141,0.80315,0.47174,0.53048,0.30228,1.2645,0.59459,0.9886,0.009109,0.009109,0.009109
11,3441.03,1.31433,0.69294,1.00583,0.8169,0.46857,0.53432,0.30611,1.25595,0.58418,0.98766,0.00901,0.00901,0.00901
12,3750.86,1.31241,0.68769,1.00904,0.81408,0.47906,0.54171,0.31127,1.24586,0.57484,0.98686,0.008911,0.008911,0.008911
13,4061.04,1.30521,0.67968,1.00634,0.81901,0.48194,0.54564,0.31351,1.2436,0.57038,0.98396,0.008812,0.008812,0.008812
14,4374.31,1.29908,0.67374,1.00065,0.81618,0.48262,0.54653,0.31641,1.23326,0.56418,0.97812,0.008713,0.008713,0.008713
15,4685.82,1.28676,0.66356,0.99896,0.81414,0.48622,0.55035,0.31778,1.23141,0.55741,0.97731,0.008614,0.008614,0.008614
16,4998.12,1.29043,0.6646,0.99721,0.81538,0.49278,0.55614,0.32158,1.22284,0.55016,0.97643,0.008515,0.008515,0.008515
17,5308.69,1.27642,0.65482,0.99585,0.82508,0.48958,0.5568,0.3233,1.2203,0.54489,0.97463,0.008416,0.008416,0.008416
18,5621.6,1.27135,0.65081,0.99356,0.81713,0.49336,0.55918,0.3254,1.21173,0.54058,0.97206,0.008317,0.008317,0.008317
19,5936.56,1.26684,0.64687,0.99272,0.81808,0.49848,0.56403,0.32773,1.2074,0.53794,0.97186,0.008218,0.008218,0.008218
20,6248.03,1.26094,0.63875,0.9892,0.82453,0.49762,0.56623,0.3308,1.20565,0.53026,0.97056,0.008119,0.008119,0.008119
21,6559.33,1.2588,0.64206,0.98732,0.81782,0.50034,0.56709,0.33175,1.2029,0.52935,0.96939,0.00802,0.00802,0.00802
22,6870.65,1.26531,0.63775,0.98901,0.82083,0.50078,0.56819,0.33263,1.20108,0.52751,0.969,0.007921,0.007921,0.007921
23,7183.27,1.2541,0.63438,0.98851,0.82143,0.50242,0.57091,0.33473,1.19436,0.52268,0.96652,0.007822,0.007822,0.007822
24,7495.76,1.25454,0.63061,0.98717,0.83066,0.50018,0.57217,0.33535,1.19272,0.52137,0.96696,0.007723,0.007723,0.007723
25,7809.25,1.24937,0.62798,0.98586,0.82884,0.50106,0.57329,0.3359,1.1913,0.51712,0.96822,0.007624,0.007624,0.007624
26,8122.11,1.25513,0.62778,0.98848,0.82315,0.50474,0.57512,0.33744,1.18812,0.51571,0.96645,0.007525,0.007525,0.007525
27,8432.82,1.24817,0.62692,0.98419,0.82253,0.50806,0.57667,0.33877,1.18538,0.51361,0.96478,0.007426,0.007426,0.007426
28,8742.8,1.2452,0.62383,0.98333,0.81873,0.50924,0.57746,0.3394,1.18418,0.5113,0.96367,0.007327,0.007327,0.007327
29,9051.55,1.23002,0.61304,0.98107,0.82275,0.5103,0.5789,0.33994,1.18376,0.50951,0.96327,0.007228,0.007228,0.007228
30,9355.67,1.23131,0.61093,0.98072,0.82269,0.51218,0.57968,0.34069,1.18249,0.50707,0.96341,0.007129,0.007129,0.007129
31,9660.35,1.2267,0.60911,0.97972,0.82011,0.5122,0.58057,0.34127,1.18104,0.50606,0.96316,0.00703,0.00703,0.00703
32,9971.67,1.22653,0.61048,0.97915,0.82323,0.51196,0.58155,0.34211,1.18097,0.50567,0.96292,0.006931,0.006931,0.006931
33,10285.1,1.22819,0.61017,0.97678,0.82149,0.51292,0.58234,0.34283,1.17956,0.50453,0.96178,0.006832,0.006832,0.006832
34,10596.1,1.22753,0.60882,0.97785,0.82103,0.51324,0.58261,0.34318,1.17905,0.50432,0.96189,0.006733,0.006733,0.006733
35,10911,1.22369,0.60696,0.9766,0.82033,0.5155,0.58354,0.3441,1.17796,0.50347,0.96165,0.006634,0.006634,0.006634
36,11223,1.21638,0.60089,0.97789,0.82214,0.51441,0.58355,0.34374,1.17663,0.50281,0.96142,0.006535,0.006535,0.006535
37,11534.5,1.21792,0.60025,0.97584,0.82256,0.51424,0.58398,0.34441,1.17605,0.50262,0.9613,0.006436,0.006436,0.006436
38,11841.9,1.21865,0.60199,0.97583,0.82338,0.51542,0.58503,0.34477,1.1752,0.50187,0.96141,0.006337,0.006337,0.006337
39,12147.7,1.20664,0.59459,0.97636,0.82375,0.51628,0.58569,0.34569,1.17428,0.50077,0.96147,0.006238,0.006238,0.006238
40,12460.8,1.21515,0.59574,0.97478,0.82298,0.5168,0.58608,0.3462,1.17332,0.49983,0.96136,0.006139,0.006139,0.006139
41,12773.6,1.21348,0.59316,0.97478,0.8228,0.51737,0.58655,0.34627,1.17275,0.49948,0.96111,0.00604,0.00604,0.00604
42,13086.6,1.20723,0.59075,0.97312,0.82176,0.51776,0.58709,0.34659,1.17202,0.49874,0.96095,0.005941,0.005941,0.005941
43,13400.9,1.20873,0.59144,0.97381,0.82247,0.51778,0.58747,0.34693,1.17167,0.49833,0.96086,0.005842,0.005842,0.005842
44,13712.5,1.20444,0.58872,0.9727,0.82238,0.51782,0.58774,0.34739,1.1709,0.49762,0.96082,0.005743,0.005743,0.005743
45,14017.5,1.20318,0.58272,0.96898,0.82166,0.51789,0.58801,0.34752,1.17036,0.49701,0.96046,0.005644,0.005644,0.005644
46,14324.3,1.19925,0.58347,0.96961,0.82078,0.51898,0.58871,0.34792,1.17005,0.49634,0.96033,0.005545,0.005545,0.005545
47,14630.7,1.19948,0.58298,0.96971,0.82085,0.51982,0.58925,0.34817,1.16953,0.49572,0.96007,0.005446,0.005446,0.005446
48,14937.4,1.19594,0.58109,0.96827,0.82039,0.52052,0.5895,0.34844,1.16904,0.49529,0.95993,0.005347,0.005347,0.005347
49,15242.7,1.19581,0.58036,0.96807,0.82065,0.52048,0.58995,0.34877,1.16866,0.49501,0.95972,0.005248,0.005248,0.005248
50,15548.7,1.19071,0.57516,0.96548,0.82079,0.52066,0.59015,0.34895,1.16835,0.49457,0.95968,0.005149,0.005149,0.005149
51,15853.7,1.18881,0.5738,0.96556,0.82274,0.52032,0.59056,0.34934,1.16802,0.49412,0.95948,0.00505,0.00505,0.00505
52,16158.6,1.18966,0.57452,0.96577,0.82338,0.5206,0.59081,0.34943,1.16777,0.4936,0.95939,0.004951,0.004951,0.004951
53,16465,1.18533,0.56918,0.96594,0.82301,0.52078,0.5911,0.34968,1.1674,0.49319,0.95928,0.004852,0.004852,0.004852
54,16771.3,1.18693,0.57297,0.96389,0.82452,0.52092,0.59145,0.34997,1.16693,0.49274,0.95932,0.004753,0.004753,0.004753
55,17077.4,1.18088,0.56836,0.96348,0.82364,0.52085,0.59149,0.35018,1.16668,0.49247,0.9592,0.004654,0.004654,0.004654
56,17384,1.18039,0.5691,0.96301,0.82424,0.52098,0.59186,0.35042,1.16647,0.49212,0.95912,0.004555,0.004555,0.004555
57,17691.9,1.17892,0.56721,0.96067,0.82521,0.52098,0.59222,0.35066,1.16607,0.49179,0.95897,0.004456,0.004456,0.004456
58,18000.1,1.18263,0.56734,0.9617,0.82422,0.5215,0.59258,0.35089,1.16569,0.49136,0.95884,0.004357,0.004357,0.004357
59,18306.7,1.1739,0.56089,0.95991,0.82512,0.5214,0.59281,0.35099,1.1652,0.49091,0.95862,0.004258,0.004258,0.004258
60,18614.6,1.17985,0.56279,0.95998,0.82231,0.52305,0.59327,0.35127,1.1649,0.49049,0.95843,0.004159,0.004159,0.004159
61,18920.6,1.17177,0.55988,0.95951,0.82287,0.52301,0.59354,0.35143,1.16495,0.49003,0.95837,0.00406,0.00406,0.00406
62,19228.1,1.16794,0.55846,0.95905,0.82295,0.5231,0.59375,0.3516,1.16465,0.48971,0.95816,0.003961,0.003961,0.003961
63,19534.4,1.16604,0.55337,0.95754,0.82331,0.52341,0.59406,0.35189,1.16436,0.4896,0.95797,0.003862,0.003862,0.003862
64,19840.9,1.16435,0.55704,0.95108,0.82197,0.52412,0.59435,0.35211,1.16415,0.48903,0.95764,0.003763,0.003763,0.003763
65,20147,1.16264,0.55055,0.95639,0.8219,0.52401,0.59424,0.35236,1.16371,0.48846,0.95736,0.003664,0.003664,0.003664
66,20452.4,1.16071,0.55071,0.9546,0.82268,0.52408,0.59444,0.35263,1.16331,0.48821,0.95715,0.003565,0.003565,0.003565
67,20757.4,1.15647,0.54784,0.95851,0.8221,0.52494,0.59502,0.35299,1.16293,0.48784,0.95702,0.003466,0.003466,0.003466
68,21064.5,1.15834,0.5448,0.95546,0.82244,0.52496,0.59536,0.35324,1.16252,0.48722,0.95685,0.003367,0.003367,0.003367
69,21372.1,1.15369,0.54512,0.95592,0.82154,0.52508,0.5956,0.35354,1.16227,0.48663,0.95688,0.003268,0.003268,0.003268
70,21677.8,1.1501,0.54102,0.9537,0.82206,0.52538,0.59624,0.35376,1.16205,0.48642,0.95676,0.003169,0.003169,0.003169
71,21984,1.14963,0.53972,0.94892,0.82217,0.52561,0.59656,0.35396,1.16171,0.48596,0.95662,0.00307,0.00307,0.00307
72,22289.9,1.14521,0.5367,0.9508,0.82182,0.5262,0.59696,0.35411,1.16152,0.48568,0.95654,0.002971,0.002971,0.002971
73,22597.8,1.14252,0.53623,0.95088,0.82245,0.52607,0.59711,0.35442,1.16102,0.48513,0.95645,0.002872,0.002872,0.002872
74,22903.7,1.13741,0.5306,0.94871,0.8227,0.52658,0.59777,0.35478,1.16062,0.48453,0.95631,0.002773,0.002773,0.002773
75,23211.1,1.14466,0.53273,0.95003,0.82196,0.52692,0.59817,0.35512,1.16029,0.48421,0.95631,0.002674,0.002674,0.002674
